# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
1	0.000000	0.000000
5	0.000000	0.000000
14	0.000000	0.000000
15	0.000000	0.000000
24	0.000000	0.000000
33	0.000000	0.000000
36	0.000000	0.000000
39	0.000000	0.000000
43	0.000000	0.000000
44	0.000000	0.000000
47	0.000000	0.000000
53	0.000000	0.000000
58	0.000000	0.000000
59	0.000000	0.000000
60	0.000000	0.000000
61	0.000000	0.000000
65	0.000000	0.000000
68	0.000000	0.000000
71	0.000000	0.000000
74	0.000000	0.000000
77	0.000000	0.000000
80	0.000000	0.000000
94	0.000000	0.000000
96	0.000000	0.000000
102	0.000000	0.000000
