locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNBKHAJB_00001	CDS	1386	dnaA	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
CNBKHAJB_00002	CDS	1104	dnaN		COG0592	Beta sliding clamp
CNBKHAJB_00003	CDS	1134	recF		COG1195	DNA replication and repair protein RecF
CNBKHAJB_00004	CDS	2445	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
CNBKHAJB_00005	CDS	927	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
CNBKHAJB_00006	CDS	2067	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
CNBKHAJB_00007	CDS	315	dksA_1			RNA polymerase-binding transcription factor DksA
CNBKHAJB_00008	CDS	252				hypothetical protein
CNBKHAJB_00009	CDS	693	lepB_1	3.4.21.89	COG0681	Signal peptidase I
CNBKHAJB_00010	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
CNBKHAJB_00011	CDS	1932	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
CNBKHAJB_00012	CDS	1332	pepQ_1	3.4.13.9		Xaa-Pro dipeptidase
CNBKHAJB_00013	CDS	627	yigZ		COG1739	IMPACT family member YigZ
CNBKHAJB_00014	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
CNBKHAJB_00015	CDS	2940				hypothetical protein
CNBKHAJB_00016	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
CNBKHAJB_00017	CDS	1323	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
CNBKHAJB_00018	CDS	984	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
CNBKHAJB_00019	CDS	516	def1	3.5.1.88	COG0242	Peptide deformylase 1
CNBKHAJB_00020	CDS	1086				hypothetical protein
CNBKHAJB_00021	CDS	1152				hypothetical protein
CNBKHAJB_00022	CDS	474	smg			Protein Smg
CNBKHAJB_00023	CDS	561	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
CNBKHAJB_00024	CDS	1158	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
CNBKHAJB_00025	CDS	483	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
CNBKHAJB_00026	CDS	552	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
CNBKHAJB_00027	CDS	714	ompW		COG3047	Outer membrane protein W
CNBKHAJB_00028	CDS	828	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
CNBKHAJB_00029	CDS	234				hypothetical protein
CNBKHAJB_00030	CDS	540	yrdA		COG0663	Protein YrdA
CNBKHAJB_00031	rRNA	1545				16S ribosomal RNA
CNBKHAJB_00032	tRNA	77				tRNA-Ile(gat)
